id,host_id,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
25829582,117543014,0.0,43.0,2019-02-01,3.32,1,38
311356,142147,326.0,98.0,2019-01-05,1.09,1,52
442636,1655939,85.0,289.0,2019-02-01,3.3,1,77
543792,865264,276.0,107.0,2019-02-01,1.25,1,110
658932,3323929,0.0,30.0,2019-02-01,0.4,1,69
680225,2675998,0.0,1.0,2018-03-01,0.05,2,65
951365,2675998,314.0,74.0,2019-02-01,0.96,2,115
1186569,6471461,356.0,224.0,2019-02-07,3.87,2,55
2093455,6471461,329.0,275.0,2019-05-07,4.64,2,60
2012750,10355206,178.0,64.0,2015-02-11,0.95,1,75
2323502,3976338,87.0,106.0,2019-01-07,1.61,1,59
3311830,11674837,359.0,142.0,2019-02-01,2.34,3,59
3626302,11674837,352.0,173.0,2019-02-01,2.87,3,59
34082442,11674837,179.0,6.0,2019-02-01,3.1,3,69
3792246,7508547,1.0,77.0,2019-02-01,1.53,1,49
4174847,21663531,245.0,38.0,2019-02-01,0.76,2,50
24403784,21663531,293.0,4.0,2019-12-04,0.4,2,50
